全量更新,#genre#
北京卫视,http://123.118.53.50:8686/rtp/239.3.1.241:8000$北京联通
北京文艺,http://123.118.53.50:8686/rtp/239.3.1.242:8000$北京联通
北京体育休闲,http://123.118.53.50:8686/rtp/239.3.1.243:8000$北京联通
北京影视,http://123.118.53.50:8686/rtp/239.3.1.158:8000$北京联通
北京财经,http://123.118.53.50:8686/rtp/239.3.1.116:8000$北京联通
北京生活,http://123.118.53.50:8686/rtp/239.3.1.117:8000$北京联通
北京新闻,http://123.118.53.50:8686/rtp/239.3.1.159:8000$北京联通
北京卡酷少儿,http://123.118.53.50:8686/rtp/239.3.1.189:8000$北京联通
北京纪实科教,http://123.118.53.50:8686/rtp/239.3.1.115:8000$北京联通
北京国际,http://123.118.53.50:8686/rtp/239.3.1.235:8000$北京联通
北京IPTV4K超清,http://123.118.53.50:8686/rtp/239.3.1.249:8001$北京联通
北京IPTV淘精彩,http://123.118.53.50:8686/rtp/239.3.1.178:8001$北京联通
北京IPTV淘剧场,http://123.118.53.50:8686/rtp/239.3.1.95:8001$北京联通
北京IPTV淘电影,http://123.118.53.50:8686/rtp/239.3.1.250:8001$北京联通
北京IPTV淘娱乐,http://123.118.53.50:8686/rtp/239.3.1.100:8001$北京联通
北京IPTV淘BABY,http://123.118.53.50:8686/rtp/239.3.1.238:8001$北京联通
北京IPTV萌宠TV,http://123.118.53.50:8686/rtp/239.3.1.102:8001$北京联通
北京IPTV重温经典,http://123.118.53.50:8686/rtp/239.3.1.25:8001$北京联通
朝阳融媒,http://123.118.53.50:8686/rtp/239.3.1.163:8001$北京联通
通州区,http://123.118.53.50:8686/rtp/239.3.1.221:8001$北京联通
门头沟区,http://123.118.53.50:8686/rtp/239.3.1.59:8001$北京联通
房山,http://123.118.53.50:8686/rtp/239.3.1.96:8001$北京联通
密云,http://123.118.53.50:8686/rtp/239.3.1.154:8001$北京联通
延庆区,http://123.118.53.50:8686/rtp/239.3.1.187:8001$北京联通
平谷区,http://123.118.53.50:8686/rtp/239.3.1.154:8001$北京联通
CCTV-1综合,http://123.118.53.50:8686/rtp/239.3.1.129:8008$北京联通
CCTV-2财经,http://123.118.53.50:8686/rtp/239.3.1.60:8084$北京联通
CCTV-3综艺,http://123.118.53.50:8686/rtp/239.3.1.172:8001$北京联通
CCTV-4中文国际,http://123.118.53.50:8686/rtp/239.3.1.105:8092$北京联通
CCTV-4欧洲,http://123.118.53.50:8686/rtp/239.3.1.213:4220$北京联通
CCTV-4美洲,http://123.118.53.50:8686/rtp/239.3.1.214:4220$北京联通
CCTV-5体育,http://123.118.53.50:8686/rtp/239.3.1.173:8001$北京联通
CCTV-5+体育赛事,http://123.118.53.50:8686/rtp/239.3.1.130:8004$北京联通
CCTV-6电影,http://123.118.53.50:8686/rtp/239.3.1.174:8001$北京联通
CCTV-7国防军事,http://123.118.53.50:8686/rtp/239.3.1.61:8104$北京联通
CCTV-8电视剧,http://123.118.53.50:8686/rtp/239.3.1.175:8001$北京联通
CCTV-9纪录,http://123.118.53.50:8686/rtp/239.3.1.62:8112$北京联通
CCTV-10科教,http://123.118.53.50:8686/rtp/239.3.1.63:8116$北京联通
CCTV-11戏曲,http://123.118.53.50:8686/rtp/239.3.1.152:8120$北京联通
CCTV-12社会与法,http://123.118.53.50:8686/rtp/239.3.1.64:8124$北京联通
CCTV-13新闻,http://123.118.53.50:8686/rtp/239.3.1.124:8128$北京联通
CCTV-14少儿,http://123.118.53.50:8686/rtp/239.3.1.65:8132$北京联通
CCTV-15音乐,http://123.118.53.50:8686/rtp/239.3.1.153:8136$北京联通
CCTV-16奥林匹克,http://123.118.53.50:8686/rtp/239.3.1.184:8001$北京联通
CCTV-17农业农村,http://123.118.53.50:8686/rtp/239.3.1.151:8144$北京联通
CCTV-4K,http://123.118.53.50:8686/rtp/239.3.1.245:2000$北京联通
中国教育1台,http://123.118.53.50:8686/rtp/239.3.1.57:8152$北京联通
中国教育2台,http://123.118.53.50:8686/rtp/239.3.1.54:4120$北京联通
中国教育3台,http://123.118.53.50:8686/rtp/239.3.1.55:4120$北京联通
中国教育4台,http://123.118.53.50:8686/rtp/239.3.1.56:4120$北京联通
CGTN,http://123.118.53.50:8686/rtp/239.3.1.215:4220$北京联通
CGTN-纪录,http://123.118.53.50:8686/rtp/239.3.1.216:4220$北京联通
CGTN-西班牙语,http://123.118.53.50:8686/rtp/239.3.1.217:4220$北京联通
CGTN-法语,http://123.118.53.50:8686/rtp/239.3.1.218:4220$北京联通
CGTN-阿拉伯语,http://123.118.53.50:8686/rtp/239.3.1.219:4220$北京联通
CGTN-俄语,http://123.118.53.50:8686/rtp/239.3.1.220:4220$北京联通
湖南卫视,http://123.118.53.50:8686/rtp/239.3.1.132:8012$北京联通
江苏卫视,http://123.118.53.50:8686/rtp/239.3.1.135:8028$北京联通
浙江卫视,http://123.118.53.50:8686/rtp/239.3.1.137:8036$北京联通
东方卫视,http://123.118.53.50:8686/rtp/239.3.1.136:8032$北京联通
安徽卫视,http://123.118.53.50:8686/rtp/239.3.1.211:8064$北京联通
辽宁卫视,http://123.118.53.50:8686/rtp/239.3.1.210:8056$北京联通
黑龙江卫视,http://123.118.53.50:8686/rtp/239.3.1.133:8016$北京联通
吉林卫视,http://123.118.53.50:8686/rtp/239.3.1.240:8172$北京联通
天津卫视,http://123.118.53.50:8686/rtp/239.3.1.141:1234$北京联通
广东卫视,http://123.118.53.50:8686/rtp/239.3.1.142:8048$北京联通
深圳卫视,http://123.118.53.50:8686/rtp/239.3.1.134:8020$北京联通
湖北卫视,http://123.118.53.50:8686/rtp/239.3.1.138:8044$北京联通
山东卫视,http://123.118.53.50:8686/rtp/239.3.1.209:8052$北京联通
河北卫视,http://123.118.53.50:8686/rtp/239.3.1.148:8072$北京联通
河南卫视,http://123.118.53.50:8686/rtp/239.3.1.50:8184$北京联通
贵州卫视,http://123.118.53.50:8686/rtp/239.3.1.149:8076$北京联通
东南卫视,http://123.118.53.50:8686/rtp/239.3.1.156:8148$北京联通
重庆卫视,http://123.118.53.50:8686/rtp/239.3.1.122:8160$北京联通
江西卫视,http://123.118.53.50:8686/rtp/239.3.1.123:8164$北京联通
甘肃卫视,http://123.118.53.50:8686/rtp/239.3.1.201:8180$北京联通
宁夏卫视,http://123.118.53.50:8686/rtp/239.3.1.169:8212$北京联通
西藏卫视,http://123.118.53.50:8686/rtp/239.3.1.166:8188$北京联通
新疆卫视,http://123.118.53.50:8686/rtp/239.3.1.167:8192$北京联通
兵团卫视,http://123.118.53.50:8686/rtp/239.3.1.168:8196$北京联通
四川卫视,http://123.118.53.50:8686/rtp/239.3.1.29:8288$北京联通
海南卫视,http://123.118.53.50:8686/rtp/239.3.1.45:8304$北京联通
内蒙古卫视,http://123.118.53.50:8686/rtp/239.3.1.43:8176$北京联通
陕西卫视,http://123.118.53.50:8686/rtp/239.3.1.41:8140$北京联通
广西卫视,http://123.118.53.50:8686/rtp/239.3.1.39:8300$北京联通
山西卫视,http://123.118.53.50:8686/rtp/239.3.1.42:8172$北京联通
青海卫视,http://123.118.53.50:8686/rtp/239.3.1.44:8184$北京联通
云南卫视,http://123.118.53.50:8686/rtp/239.3.1.26:8108$北京联通
厦门卫视,http://123.118.53.50:8686/rtp/239.3.1.143:4120$北京联通
三沙卫视,http://123.118.53.50:8686/rtp/239.3.1.155:4120$北京联通
北京卫视4K,http://123.118.53.50:8686/rtp/239.3.1.118:8001$北京联通
湖南卫视4K,http://123.118.53.50:8686/rtp/239.3.1.112:3002$北京联通
江苏卫视4K,http://123.118.53.50:8686/rtp/239.3.1.113:3003$北京联通
