CCTV-1综合,udp://238.125.1.1:5140
CCTV-2财经,udp://238.125.1.20:5140
CCTV-3综艺,udp://238.125.1.21:5140
CCTV-4中文国际,udp://238.125.1.67:5140
CCTV-5体育,udp://238.125.1.22:5140
CCTV-5+体育赛事,udp://238.125.1.29:5140
CCTV-6电影,udp://238.125.1.23:5140
CCTV-7国防军事,udp://238.125.1.24:5140
CCTV-8电视剧,udp://238.125.1.25:5140
CCTV-9纪录,udp://238.125.1.26:5140
CCTV-10科教,udp://238.125.1.27:5140
CCTV-11戏曲,udp://238.125.3.212:5140
CCTV-12社会与法,udp://238.125.1.28:5140
CCTV-13新闻,udp://238.125.2.245:5140
CCTV-14少儿,udp://238.125.1.66:5140
CCTV-15音乐,udp://238.125.3.213:5140
CCTV-16奥林匹克,udp://238.125.2.183:5140
CCTV-16奥林匹克4K,udp://238.125.2.168:5140
CCTV-17农业农村,udp://238.125.3.153:5140
中央新影-中学生,udp://238.125.2.130:5140
中国教育1台,udp://238.125.0.35:5140
中国教育2台,udp://238.125.2.234:5140
中国教育4台,udp://238.125.0.37:5140
CGTN,udp://238.125.3.134:5140
CGTN-纪录,udp://238.125.3.119:5140
CGTN-法语,udp://238.125.3.99:5140
CGTN-西班牙语,udp://238.125.3.100:5140
CGTN-俄语,udp://238.125.3.101:5140
CGTN-纪录,udp://238.125.3.102:5140
兵团卫视,udp://238.125.0.36:5140
北京卫视,udp://238.125.1.3:5140
广东卫视,udp://238.125.1.12:5140
深圳卫视,udp://238.125.1.2:5140
湖南卫视,udp://238.125.1.4:5140
浙江卫视,udp://238.125.1.7:5140
江苏卫视,udp://238.125.1.6:5140
山东卫视,udp://238.125.1.11:5140
东方卫视,udp://238.125.1.5:5140
四川卫视,udp://238.125.1.62:5140
重庆卫视,udp://238.125.1.14:5140
辽宁卫视,udp://238.125.1.15:5140
天津卫视,udp://238.125.1.13:5140
黑龙江卫视,udp://238.125.1.8:5140
江西卫视,udp://238.125.3.106:5140
湖北卫视,udp://238.125.1.10:5140
安徽卫视,udp://238.125.1.9:5140
河南卫视,udp://238.125.3.171:5140
吉林卫视,udp://238.125.3.103:5140
贵州卫视,udp://238.125.1.65:5140
河北卫视,udp://238.125.1.64:5140
东南卫视,udp://238.125.1.49:5140
云南卫视,udp://238.125.2.223:5140
海南卫视,udp://238.125.1.68:5140
广西卫视,udp://238.125.2.218:5140
青海卫视,udp://238.125.2.138:5140
陕西卫视,udp://238.125.2.165:5140
甘肃卫视,udp://238.125.2.129:5140
山西卫视,udp://238.125.3.5:5140
宁夏卫视,udp://238.125.0.46:5140
西藏卫视,udp://238.125.0.43:5140
西藏卫视藏语,udp://238.125.3.94:5140
内蒙古卫视,udp://238.125.0.44:5140
内蒙古卫视蒙语,udp://238.125.3.93:5140
延边卫视,udp://238.125.0.163:5140、
康巴卫视,udp://238.125.0.54:5140
厦门卫视,udp://238.125.0.59:5140
山东教育卫视,udp://238.125.0.156:5140
农林卫视,udp://238.125.0.154:5140
北京卫视4K,udp://238.125.0.83:5140
广东卫视4K,udp://238.125.3.132:5140
深圳卫视4K,udp://238.125.3.133:5140
XJTV-1高清,udp://238.125.3.174:5140
XJTV-2高清,udp://238.125.3.175:5140
XJTV-3高清,udp://238.125.3.176:5140
XJTV-4高清,udp://238.125.3.177:5140
XJTV-5高清,udp://238.125.3.178:5140
XJTV-6高清,udp://238.125.3.179:5140
XJTV-7高清,udp://238.125.3.183:5140
XJTV-8高清,udp://238.125.3.185:5140
新疆教育高清,udp://238.125.2.131:5140
伊犁汉语综合,udp://238.125.0.147:5140
伊犁哈语综合,udp://238.125.0.148:5140
伊犁维语综合,udp://238.125.0.149:5140
伊犁经济法制,udp://238.125.0.150:5140
塔城汉语综合,udp://238.125.3.29:5140
塔城哈语综合,udp://238.125.3.30:5140 
塔城经济信息,udp://238.125.3.31:5140
沙湾-1,udp://238.125.3.32:5140
乌苏-1,udp://238.125.2.194:5140
九师-1,udp://238.125.3.109:5140
塔城市-1,udp://238.125.3.194:5140
额敏综合,udp://238.125.2.193:5140
和布克赛尔汉语综合,udp://238.125.2.192:5140
裕民-1,udp://238.125.2.191:5140
托里-1,udp://238.125.2.213:5140
托里-2,udp://238.125.2.208:5140
XJTV-1高清,udp://238.125.7.145:5140
XJTV-2高清,udp://238.125.7.146:5140
XJTV-3高清,udp://238.125.7.147:5140
XJTV-4高清,udp://238.125.7.148:5140
XJTV-5高清,udp://238.125.7.149:5140
XJTV-6高清,udp://238.125.7.150:5140
XJTV-7高清,udp://238.125.7.154:5140
XJTV-8高清,udp://238.125.7.156:5140
CMMB1高清,udp://238.125.5.128:5140
CMMB2高清,udp://238.125.5.129:5140
睛彩新疆高清,udp://238.125.5.130:5140
阿拉尔1,udp://238.125.7.88:5140
阿克苏1,udp://238.125.7.84:5140
阿克苏2,udp://238.125.7.85:5140
阿克苏3,udp://238.125.7.86:5140
柯坪综合,udp://238.125.7.229:5140
拜城1,udp://238.125.7.107:5140
拜城2,udp://238.125.7.108:5140
乌什1,udp://238.125.7.130:5140
乌什2,udp://238.125.7.131:5140
阿瓦提综合,udp://238.125.6.173:5140
库车1,udp://238.125.7.117:5140
库车2,udp://238.125.7.118:5140
阿克苏温宿1,udp://238.125.7.162:5140
阿克苏温宿2,udp://238.125.7.163:5140
阿克苏市1,udp://238.125.7.102:5140
阿克苏市2,udp://238.125.7.104:5140
新和1,udp://238.125.7.189:5140
新和2,udp://238.125.7.190:5140
沙雅1,udp://238.125.7.206:5140
沙雅2,udp://238.125.7.207:5140
人物频道,udp://238.125.2.197:5140
新疆直播室101,udp://238.125.3.59:5140
新疆直播室102,udp://238.125.3.60:5140
新疆直播室103,udp://238.125.3.61:5140
新疆直播室104,udp://238.125.3.62:5140
新疆直播室105,udp://238.125.3.63:5140
新疆直播室106,udp://238.125.3.64:5140
新疆直播室107,udp://238.125.3.65:5140
新疆直播室108,udp://238.125.3.66:5140
新疆直播室109,udp://238.125.3.67:5140
新疆直播室110,udp://238.125.3.68:5140
新疆直播室111,udp://238.125.3.69:5140
新疆4K视界,udp://238.125.3.127:5140
新疆九屏导视-1,udp://238.125.3.159:5140
新疆九屏导视-2,udp://238.125.3.160:5140
新疆九屏导视-3,udp://238.125.3.161:5140
新疆九屏导视-4,udp://238.125.3.162:5140
新疆九屏-5,udp://238.125.3.243:5140
新疆九屏-6,udp://238.125.3.244:5140
新疆九屏-7,udp://238.125.3.245:5140
新疆九屏-8,udp://238.125.3.246:5140
新疆四屏-1,udp://238.125.3.198:5140
新疆四屏-2,udp://238.125.3.199:5140
新疆四屏-3,udp://238.125.3.200:5140
新疆四屏-4,udp://238.125.3.201:5140
新疆直播课堂1,udp://238.125.3.206:5140
新疆直播课堂2,udp://238.125.3.207:5140
新疆直播课堂3,udp://238.125.3.208:5140
新疆直播课堂4,udp://238.125.3.209:5140
新疆直播课堂5,udp://238.125.3.210:5140 
新疆直播课堂6,udp://238.125.3.211:5140
新疆天翼高清1,udp://238.125.2.145:5140
新疆天翼4K-35M,udp://238.125.2.144:5140
新疆天翼4K-15M,udp://238.125.2.143:5140
金鹰卡通,udp://238.125.0.38:5140
卡酷少儿,udp://238.125.0.226:5140
哈哈炫动,udp://238.125.2.217:5140
优漫卡通,udp://238.125.0.159:5140
嘉佳卡通,udp://238.125.0.82:5140
动漫秀场,udp://238.125.0.50:5140
游戏风云,udp://238.125.0.58:5140
求索纪录,udp://238.125.2.198:5140
中国天气,udp://238.125.0.81:5140
文物宝库,udp://238.125.2.219:5140
武术世界,udp://238.125.2.220:5140
梨园频道,udp://238.125.2.221:5140
东方财经,udp://238.125.2.147:5140
都市剧场,udp://238.125.0.48:5140
欢笑剧场,udp://238.125.1.61:5140
乐游,udp://238.125.0.52:5140
茶频道,udp://238.125.2.238:5140
快乐垂钓,udp://238.125.2.236:5140
金鹰纪实,udp://238.125.3.122:5140
生活时尚,udp://238.125.0.65:5140
金色学堂,udp://238.125.0.47:5140
法治天地,udp://238.125.0.53:5140
精彩影视,udp://238.125.2.196:5140
中华特产,udp://238.125.2.178:5140
优优宝贝,udp://238.125.2.177:5140
环球旅游,udp://238.125.2.176:5140
生态环境,udp://238.125.2.175:5140
收藏天下,udp://238.125.2.174:5140
四海钓鱼,udp://238.125.2.172:5140
财富天下,udp://238.125.2.205:5140
先锋乒羽,udp://238.125.2.237:5140
欢笑剧场4K,udp://238.125.2.159:5140
库看轮播,udp://238.125.3.70:5140
中国体育,udp://238.125.2.231:5140
聚鲨环球精选,udp://238.125.0.143:5140
好享购物,udp://238.125.3.158:5140
东方购物,udp://238.125.2.146:5140
优购物,udp://238.125.0.184:5140
